steps_id,description,recipe_id,order_no
1,Chop the pork into thin strips.,1,1
2,Juice the lime.,1,2
3,Mince the garlic.,1,3
4,Mix soy sauce- sugar and lime juice in a bowl.,1,4
5,Heat a pan and add the pork strips.,1,5
6,Add garlic and stir-fry until fragrant.,1,6
7,Add the bell peppers and onions.,1,7
8,Pour the sauce mixture over the ingredients.,1,8
9,Cook until the pork is fully cooked and vegetables are tender.,1,9
10,Serve hot with rice.,1,10
11,Mince the garlic.,2,1
12,Slice the onion and red bell pepper.,2,2
13,Heat a pan and add the curry paste.,2,3
14,Add the minced garlic and cook until fragrant.,2,4
15,Add the sliced onion and red bell pepper to the pan.,2,5
16,Pour in the coconut milk and bring to a simmer.,2,6
17,Add the seafood mix and cook until done.,2,7
18,Season with fish sauce and sugar.,2,8
19,Add lime juice for a fresh tangy flavor.,2,9
20,Serve hot with steamed rice.,2,10
21,Boil the eggs for 6-8 minutes then cool in ice water.,3,1
22,Peel the eggs carefully.,3,2
23,Season the sausage meat with herbs and spices.,3,3
24,Wrap the sausage meat around each egg.,3,4
25,Coat each wrapped egg in flour.,3,5
26,Dip into beaten egg.,3,6
27,Roll in bread crumbs.,3,7
28,Heat oil in a deep pan.,3,8
29,Fry the Scotch eggs until golden brown.,3,9
30,Serve with a dipping sauce of your choice.,3,10
31,Peel and devein the shrimp.,4,1
32,Slice the cucumbers and red onions thinly.,4,2
33,Chop the fresh cilantro and chili peppers.,4,3
34,Combine lime juice salt and pepper in a bowl.,4,4
35,Add shrimp cucumbers red onions cilantro and chili peppers to the bowl.,4,5
36,Stir well to coat everything in the lime juice mixture.,4,6
37,Chill in the refrigerator for 15 minutes before serving.,4,7
38,Serve cold as a refreshing appetizer.,4,8
39,Peel and julienne the carrots.,5,1
40,Slice the cucumbers and cherry tomatoes.,5,2
41,Chop the fresh cilantro.,5,3
42,Prepare the prawns by boiling them until cooked.,5,4
43,Combine fish sauce lime juice peanut butter honey and chili flakes in a bowl to make the dressing.,5,5
44,In a large bowl mix the salad greens cucumbers tomatoes carrots prawns and peanuts.,5,6
45,Pour the peanut dressing over the salad.,5,7
46,Toss everything together until well coated.,5,8
47,Serve the salad immediately.,5,9
48,Prepare the garlic onion and shallots by mincing them.,6,1
49,Scramble the eggs and set aside.,6,2
50,Heat oil in a large pan.,6,3
51,Add garlic onion and shallots to the pan and sauté until fragrant.,6,4
52,Add shrimp prawns and chicken breast to the pan and cook until done.,6,5
53,Add carrots cabbage green beans and mixed vegetables.,6,6
54,Add the cooked rice to the pan and stir well.,6,7
55,Season with soy sauce chili sauce and sweet soy sauce.,6,8
56,Add the scrambled eggs and mix everything together.,6,9
57,Garnish with green onions and serve hot.,6,10
58,Preheat the oven to 350°F (175°C).,7,1
59,Whisk together the eggs salt oil and sugar.,7,2
60,Add the cake flour and baking powder and mix until smooth.,7,3
61,Pour the batter into a greased cake pan.,7,4
62,Bake for 25-30 minutes or until a toothpick inserted into the center comes out clean.,7,5
63,Let the cake cool completely.,7,6
64,Whip the cream and powdered sugar together until stiff peaks form.,7,7
65,Spread the whipped cream over the cooled cake.,7,8
66,Top with fresh mango slices.,7,9
67,Serve the cake chilled.,7,10
68,Preheat the oven to 400°F (200°C).,8,1
69,Caramelize the sugar in a pan until golden brown.,8,2
70,Add the butter and mix well.,8,3
71,Add the lychees to the caramel mixture.,8,4
72,Sprinkle vanilla extract rum and lemon juice over the lychees.,8,5
73,Roll out the puff pastry and cut into circles.,8,6
74,Place the pastry circles over the lychees.,8,7
75,Bake for 15-20 minutes or until the pastry is golden brown.,8,8
76,Let cool slightly before serving.,8,9
77,Combine flour baking powder cocoa powder and salt in a bowl.,9,1
78,In a separate bowl whisk together eggs sugar milk and melted butter.,9,2
79,Add the wet ingredients to the dry ingredients and mix until smooth.,9,3
80,Stir in the chocolate chips.,9,4
81,Heat a non-stick pan over medium heat.,9,5
82,Pour batter into the pan to form small pikelets.,9,6
83,Cook until bubbles form on the surface then flip and cook until golden brown.,9,7
84,Serve with your favorite toppings.,9,8
85,Prepare the chai tea and let it cool.,10,1
86,Brew a strong chai tea concentrate.,10,2
87,Mix sugar vanilla extract and rum in a bowl.,10,3
