theme_chapters_id,name,description
1,Mountain Recipes,Mountain Recipes description
2,Risotto,Risotto description
3,Easter Sweets,Easter Sweets description
4,Quick Meals,Quick Meals description
5,Healthy Choices,Healthy Choices description
6,Seafood Delights,Seafood Delights description
7,Dessert Favorites,Dessert Favorites description
8,Comfort Food,Comfort Food description
9,Holiday Specials,Holiday Specials description
10,BBQ Essentials,BBQ Essentials description
11,Vegan Delights,Vegan Delights description
12,Asian Fusion,Asian Fusion description
13,Italian Classics,Italian Classics description
14,Mexican Fiesta,Mexican Fiesta description
15,Mediterranean Flavors,Mediterranean Flavors description
16,Winter Warmers,Winter Warmers description
17,Summer Coolers,Summer Coolers description
18,Breakfast Bonanza,Breakfast Bonanza description
19,Brunch Ideas,Brunch Ideas description
20,Festive Bakes,Festive Bakes description
21,Weeknight Dinners,Weeknight Dinners description
22,Party Snacks,Party Snacks description
23,Gourmet Dishes,Gourmet Dishes description
24,Street Food,Street Food description
25,Traditional Favorites,Traditional Favorites description
26,Kids' Favorites,Kids' Favorites description
27,Spicy Dishes,Spicy Dishes description
28,Family Meals,Family Meals description
29,Date Night,Date Night description
30,Budget-Friendly,Budget-Friendly description
31,One-Pot Wonders,One-Pot Wonders description
32,Gluten-Free Goodies,Gluten-Free Goodies description
33,Low-Carb Creations,Low-Carb Creations description
34,Indulgent Treats,Indulgent Treats description
35,Exotic Eats,Exotic Eats description
